#{"t_start": 1773400881.496702, "env_id": "ALE/DemonAttack-v5"}
r,l,t
190.0,1742,1.32139
100.0,1008,1.738233
205.0,1057,2.172785
295.0,1288,2.701277
140.0,1262,3.214455
100.0,459,3.404741
120.0,708,3.695786
50.0,213,3.784934
250.0,1365,4.345399
190.0,1103,15.542934
50.0,370,35.195651
30.0,258,49.499077
220.0,2122,164.375847
120.0,934,215.319939
90.0,686,252.003033
310.0,1933,364.000932
140.0,980,419.81409
150.0,1053,480.253904
70.0,366,501.349515
265.0,924,556.016017
50.0,319,575.146222
60.0,515,605.937991
90.0,690,646.899665
175.0,1460,735.540431
90.0,651,774.440473
120.0,431,798.986231
90.0,521,828.829023
130.0,659,870.404532
150.0,977,931.002324
265.0,827,980.244053
130.0,835,1030.867897
40.0,307,1049.911572
265.0,1548,1142.575064
130.0,616,1178.480849
70.0,349,1199.700242
190.0,533,1231.147761
160.0,992,1289.667773
280.0,1240,1363.304038
30.0,294,1380.608941
120.0,666,1420.071182
120.0,627,1458.466617
130.0,933,1513.338465
175.0,1107,1579.285812
110.0,865,1633.654941
250.0,1187,1707.798372
90.0,1304,1788.539173
310.0,1440,1874.193988
70.0,415,1898.82306
100.0,817,1945.770911
90.0,500,1974.739169
100.0,524,2008.790286
80.0,454,2038.689841
60.0,369,2062.077885
250.0,1272,2142.46888
100.0,650,2182.937614
175.0,840,2234.517438
90.0,612,2273.671729
250.0,1108,2344.220788
40.0,303,2363.415971
80.0,648,2404.189917
90.0,442,2432.112727
90.0,504,2465.247599
150.0,875,2519.694643
120.0,732,2564.930829
175.0,777,2612.661407
250.0,1046,2676.508674
150.0,900,2732.616436
100.0,555,2766.459237
100.0,487,2796.797952
80.0,512,2829.006378
160.0,1155,2901.516077
140.0,1296,2981.05407
110.0,866,3033.918412
