episode,reward,length,elapsed_s
1,190.0,1742,0.7
2,100.0,1008,1.1
3,205.0,1057,1.6
4,295.0,1288,2.1
5,140.0,1262,2.6
6,100.0,459,2.8
7,120.0,708,3.1
8,50.0,213,3.2
9,250.0,1365,3.7
10,190.0,1103,14.9
11,50.0,370,34.6
12,30.0,258,48.9
13,220.0,2122,163.8
14,120.0,934,214.7
15,90.0,686,251.4
16,310.0,1933,363.4
17,140.0,980,419.2
18,150.0,1053,479.6
19,70.0,366,500.7
20,265.0,924,555.4
21,50.0,319,574.5
22,60.0,515,605.3
23,90.0,690,646.3
24,175.0,1460,734.9
25,90.0,651,773.8
26,120.0,431,798.4
27,90.0,521,828.2
28,130.0,659,869.8
29,150.0,977,930.4
30,265.0,827,979.6
31,130.0,835,1030.3
32,40.0,307,1049.3
33,265.0,1548,1142.0
34,130.0,616,1177.9
35,70.0,349,1199.1
36,190.0,533,1230.5
37,160.0,992,1289.1
38,280.0,1240,1362.7
39,30.0,294,1380.0
40,120.0,666,1419.5
41,120.0,627,1457.9
42,130.0,933,1512.7
43,175.0,1107,1578.7
44,110.0,865,1633.0
45,250.0,1187,1707.2
46,90.0,1304,1787.9
47,310.0,1440,1873.6
48,70.0,415,1898.2
49,100.0,817,1945.2
50,90.0,500,1974.1
51,100.0,524,2008.2
52,80.0,454,2038.1
53,60.0,369,2061.5
54,250.0,1272,2141.9
55,100.0,650,2182.3
56,175.0,840,2233.9
57,90.0,612,2273.1
58,250.0,1108,2343.6
59,40.0,303,2362.8
60,80.0,648,2403.6
61,90.0,442,2431.5
62,90.0,504,2464.6
63,150.0,875,2519.1
64,120.0,732,2564.3
65,175.0,777,2612.1
66,250.0,1046,2675.9
67,150.0,900,2732.0
68,100.0,555,2765.9
69,100.0,487,2796.2
70,80.0,512,2828.4
71,160.0,1155,2900.9
72,140.0,1296,2980.4
73,110.0,866,3033.3
